1057	100183	Arthur Haines	Haines, Arthur Duane
1918	101776	R. K. Godfrey	Godfrey, Robert Kenneth
1036	117849	J. F. Maxwell	Maxwell, James F.
1620	118307	N. Warford	Warford, Nancy
1358	123591	John Silba	Silba, John
1267	131383	Philippine National Herbarium	Philippine National Herbarium
1773	134076	D. J. de Laubenfels	de Laubenfels, David John
1654	143746	Francoise Candoussau	Candoussau, Francoise
1111	143746	Francoise Candoussau	Candoussau, Francoise
1396	148221	Andrew McDonald	McDonald, John Andrew
1481	162052	Roy Kristiansen	Kristiansen, Roy
1420	162904	Thomas Laessoe	Laessoe, Thomas
1505	164288	Elizabeth A. Widjaja	Widjaja, Elizabeth A.
1196	167117	Hans Otto Baral	Baral, Hans Otto
2046	177187	Yasuhiko Endo	Endo, Yasuhiko
1819	182712	M. L. So	So, May Ling
1396	183493	Andrew McDonald	McDonald, John Andrew
1460	190145	Leonardo Co	Leonardo Co
1979	134848	Forest Research Institute, Kepong
